"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/03";"6";"01/03/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.441";"0";"2.423";"18";"1.922";"519";"0";"2.441"
"2025/03";"6";"02/03/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.434";"0";"2.429";"5";"2.066";"368";"0";"2.434"
"2025/03";"6";"03/03/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.686";"0";"1.643";"43";"1.445";"241";"1.686";"0"
"2025/03";"6";"04/03/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.842";"0";"1.792";"50";"1.601";"241";"1.842";"0"
"2025/03";"6";"05/03/2025";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.724";"0";"1.680";"44";"1.508";"216";"1.724";"0"
"2025/03";"6";"06/03/2025";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.716";"0";"1.667";"49";"1.471";"245";"1.716";"0"
"2025/03";"6";"07/03/2025";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.580";"0";"2.515";"65";"1.988";"592";"2.580";"0"
"2025/03";"6";"08/03/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"3.482";"0";"3.463";"19";"2.804";"678";"0";"3.482"
"2025/03";"6";"09/03/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.453";"0";"2.441";"12";"2.049";"404";"0";"2.453"
"2025/03";"6";"10/03/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.256";"0";"1.217";"39";"1.100";"156";"1.256";"0"
"2025/03";"6";"11/03/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.098";"0";"1.054";"44";"986";"112";"1.098";"0"
"2025/03";"7";"01/03/2025";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/03";"7";"02/03/2025";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/03";"7";"03/03/2025";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/03";"7";"04/03/2025";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/03";"7";"05/03/2025";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/03";"9";"01/03/2025";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.015";"0";"995";"20";"774";"241";"0";"1.015"
"2025/03";"9";"02/03/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.088";"0";"1.083";"5";"929";"159";"0";"1.088"
"2025/03";"9";"03/03/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.067";"0";"1.016";"51";"879";"188";"1.067";"0"
