"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/02";"9";"23/02/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.027";"0";"1.021";"6";"883";"144";"0";"1.027"
"2025/02";"9";"24/02/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.071";"0";"1.029";"42";"884";"187";"1.071";"0"
"2025/02";"9";"25/02/2025";"2";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"979";"0";"928";"51";"798";"181";"979";"0"
"2025/02";"12";"12/02/2025";"3";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.521";"1";"13.972";"548";"11.818";"2.703";"14.521";"0"
"2025/02";"12";"13/02/2025";"4";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.686";"4";"14.080";"602";"11.950";"2.736";"14.686";"0"
"2025/02";"12";"14/02/2025";"5";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"15.725";"0";"15.180";"545";"12.132";"3.593";"15.725";"0"
"2025/02";"12";"15/02/2025";"6";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"13.540";"1";"13.338";"201";"10.034";"3.506";"0";"13.540"
"2025/02";"12";"16/02/2025";"7";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"12.646";"1";"12.588";"57";"9.591";"3.055";"0";"12.646"
"2025/02";"12";"17/02/2025";"1";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.467";"0";"13.840";"627";"11.774";"2.693";"14.467";"0"
"2025/02";"12";"18/02/2025";"2";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.362";"0";"13.739";"623";"11.725";"2.637";"14.362";"0"
"2025/02";"12";"19/02/2025";"3";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.629";"0";"14.008";"621";"11.944";"2.685";"14.629";"0"
"2025/02";"12";"20/02/2025";"4";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.793";"0";"14.121";"672";"12.023";"2.770";"14.793";"0"
"2025/02";"12";"21/02/2025";"5";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"15.857";"0";"15.173";"684";"12.402";"3.455";"15.857";"0"
"2025/02";"12";"22/02/2025";"6";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"13.575";"1";"13.379";"195";"9.919";"3.656";"0";"13.575"
"2025/02";"12";"23/02/2025";"7";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"12.037";"0";"11.974";"63";"8.800";"3.237";"0";"12.037"
"2025/02";"12";"24/02/2025";"1";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.641";"0";"14.090";"551";"11.939";"2.702";"14.641";"0"
"2025/02";"12";"25/02/2025";"2";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.403";"0";"13.767";"636";"11.828";"2.575";"14.403";"0"
"2025/02";"16";"12/02/2025";"3";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.621";"0";"1.493";"128";"1.373";"248";"1.621";"0"
"2025/02";"16";"13/02/2025";"4";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.611";"0";"1.475";"136";"1.328";"283";"1.611";"0"
"2025/02";"16";"14/02/2025";"5";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.636";"0";"1.511";"125";"1.320";"316";"1.636";"0"
"2025/02";"16";"15/02/2025";"6";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.425";"0";"1.381";"44";"1.085";"340";"0";"1.425"
"2025/02";"16";"16/02/2025";"7";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.181";"0";"1.168";"13";"851";"330";"0";"1.181"
"2025/02";"16";"17/02/2025";"1";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.543";"0";"1.407";"136";"1.288";"255";"1.543";"0"
"2025/02";"16";"18/02/2025";"2";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.547";"0";"1.396";"151";"1.269";"278";"1.547";"0"
"2025/02";"16";"19/02/2025";"3";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.516";"0";"1.384";"132";"1.256";"260";"1.516";"0"
"2025/02";"16";"20/02/2025";"4";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.669";"0";"1.526";"143";"1.350";"319";"1.669";"0"
"2025/02";"16";"21/02/2025";"5";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.749";"0";"1.595";"154";"1.379";"370";"1.749";"0"
"2025/02";"16";"22/02/2025";"6";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.400";"0";"1.351";"49";"1.084";"316";"0";"1.400"
"2025/02";"16";"23/02/2025";"7";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.327";"0";"1.306";"21";"973";"354";"0";"1.327"
"2025/02";"16";"24/02/2025";"1";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.679";"0";"1.531";"148";"1.405";"274";"1.679";"0"
"2025/02";"16";"25/02/2025";"2";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.643";"0";"1.499";"144";"1.350";"293";"1.643";"0"
"2025/02";"17";"12/02/2025";"3";"SS 12 tra Mirandola e confine regionale Lombardia";"10.756";"0";"9.707";"1.049";"8.597";"2.159";"10.756";"0"
"2025/02";"17";"13/02/2025";"4";"SS 12 tra Mirandola e confine regionale Lombardia";"11.044";"0";"9.982";"1.062";"8.626";"2.418";"11.044";"0"
"2025/02";"17";"14/02/2025";"5";"SS 12 tra Mirandola e confine regionale Lombardia";"11.136";"0";"10.249";"887";"8.492";"2.644";"11.136";"0"
"2025/02";"17";"15/02/2025";"6";"SS 12 tra Mirandola e confine regionale Lombardia";"8.885";"0";"8.724";"161";"6.436";"2.449";"0";"8.885"
"2025/02";"17";"16/02/2025";"7";"SS 12 tra Mirandola e confine regionale Lombardia";"6.682";"0";"6.638";"44";"4.783";"1.899";"0";"6.682"
"2025/02";"17";"17/02/2025";"1";"SS 12 tra Mirandola e confine regionale Lombardia";"10.698";"0";"9.668";"1.030";"8.560";"2.138";"10.698";"0"
"2025/02";"17";"18/02/2025";"2";"SS 12 tra Mirandola e confine regionale Lombardia";"10.709";"0";"9.587";"1.122";"8.477";"2.232";"10.709";"0"
"2025/02";"17";"19/02/2025";"3";"SS 12 tra Mirandola e confine regionale Lombardia";"10.872";"0";"9.798";"1.074";"8.501";"2.371";"10.872";"0"
"2025/02";"17";"20/02/2025";"4";"SS 12 tra Mirandola e confine regionale Lombardia";"10.984";"0";"9.904";"1.080";"8.679";"2.305";"10.984";"0"
