"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/03";"6";"26/03/2025";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.380";"1";"1.351";"28";"1.094";"286";"1.380";"0"
"2025/03";"6";"27/03/2025";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.289";"0";"1.258";"31";"1.063";"226";"1.289";"0"
"2025/03";"6";"28/03/2025";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.523";"0";"1.457";"66";"1.216";"307";"1.523";"0"
"2025/03";"6";"29/03/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.529";"0";"1.510";"19";"1.252";"277";"0";"1.529"
"2025/03";"6";"30/03/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.554";"0";"1.550";"4";"1.314";"240";"0";"1.554"
"2025/03";"6";"31/03/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.112";"0";"1.077";"35";"954";"158";"1.112";"0"
"2025/03";"9";"26/03/2025";"3";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.141";"0";"1.091";"50";"921";"220";"1.141";"0"
"2025/03";"9";"27/03/2025";"4";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.077";"0";"1.034";"43";"861";"216";"1.077";"0"
"2025/03";"9";"28/03/2025";"5";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.174";"0";"1.135";"39";"952";"222";"1.174";"0"
"2025/03";"9";"29/03/2025";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.071";"0";"1.046";"25";"868";"203";"0";"1.071"
"2025/03";"9";"30/03/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.304";"0";"1.295";"9";"1.082";"222";"0";"1.304"
"2025/03";"9";"31/03/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.137";"0";"1.095";"42";"929";"208";"1.137";"0"
