"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/01";"6";"25/01/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.736";"0";"1.726";"10";"1.322";"414";"0";"1.736"
"2025/01";"6";"27/01/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"942";"0";"908";"34";"797";"145";"942";"0"
"2025/01";"7";"15/01/2025";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"16/01/2025";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"17/01/2025";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"18/01/2025";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"19/01/2025";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"20/01/2025";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"21/01/2025";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"22/01/2025";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"23/01/2025";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"24/01/2025";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"25/01/2025";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"26/01/2025";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"27/01/2025";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"7";"28/01/2025";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/01";"9";"15/01/2025";"3";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.067";"0";"1.029";"38";"879";"188";"1.067";"0"
"2025/01";"9";"16/01/2025";"4";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.039";"0";"989";"50";"841";"198";"1.039";"0"
"2025/01";"9";"17/01/2025";"5";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.177";"0";"1.132";"45";"947";"230";"1.177";"0"
"2025/01";"9";"18/01/2025";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.103";"0";"1.078";"25";"883";"220";"0";"1.103"
"2025/01";"9";"19/01/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"871";"0";"867";"4";"731";"140";"0";"871"
"2025/01";"9";"20/01/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.021";"0";"980";"41";"840";"181";"1.021";"0"
"2025/01";"9";"21/01/2025";"2";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"992";"0";"955";"37";"816";"176";"992";"0"
"2025/01";"9";"22/01/2025";"3";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.076";"0";"1.030";"46";"892";"184";"1.076";"0"
"2025/01";"9";"23/01/2025";"4";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"986";"0";"938";"48";"818";"168";"986";"0"
"2025/01";"9";"24/01/2025";"5";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.131";"0";"1.079";"52";"912";"219";"1.131";"0"
"2025/01";"9";"25/01/2025";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.015";"0";"989";"26";"789";"226";"0";"1.015"
"2025/01";"9";"26/01/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"909";"0";"907";"2";"725";"184";"0";"909"
"2025/01";"9";"27/01/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.010";"0";"967";"43";"820";"190";"1.010";"0"
"2025/01";"9";"28/01/2025";"2";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.002";"0";"959";"43";"805";"197";"1.002";"0"
"2025/01";"12";"15/01/2025";"3";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.275";"1";"13.648";"626";"11.606";"2.669";"14.275";"0"
"2025/01";"12";"16/01/2025";"4";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.603";"4";"13.954";"645";"11.772";"2.831";"14.603";"0"
"2025/01";"12";"17/01/2025";"5";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"15.548";"0";"14.893";"655";"12.371";"3.177";"15.548";"0"
"2025/01";"12";"18/01/2025";"6";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"13.325";"0";"13.067";"258";"9.809";"3.516";"0";"13.325"
"2025/01";"12";"19/01/2025";"7";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"10.835";"0";"10.781";"54";"7.749";"3.086";"0";"10.835"
"2025/01";"12";"20/01/2025";"1";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.292";"0";"13.622";"670";"11.625";"2.667";"14.292";"0"
"2025/01";"12";"21/01/2025";"2";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.393";"3";"13.663";"727";"11.822";"2.571";"14.393";"0"
"2025/01";"12";"22/01/2025";"3";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.548";"0";"13.854";"694";"11.846";"2.702";"14.548";"0"
"2025/01";"12";"23/01/2025";"4";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.466";"0";"13.801";"665";"11.736";"2.730";"14.466";"0"
"2025/01";"12";"24/01/2025";"5";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"15.585";"0";"14.874";"711";"12.222";"3.363";"15.585";"0"
"2025/01";"12";"25/01/2025";"6";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"13.264";"3";"13.107";"154";"9.843";"3.421";"0";"13.264"
"2025/01";"12";"26/01/2025";"7";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"11.396";"1";"11.331";"64";"8.463";"2.933";"0";"11.396"
"2025/01";"12";"27/01/2025";"1";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.139";"0";"13.456";"683";"11.538";"2.601";"14.139";"0"
"2025/01";"12";"28/01/2025";"2";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.344";"2";"13.674";"668";"11.788";"2.556";"14.344";"0"
"2025/01";"16";"15/01/2025";"3";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.586";"0";"1.466";"120";"1.340";"246";"1.586";"0"
"2025/01";"16";"16/01/2025";"4";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.600";"0";"1.464";"136";"1.331";"269";"1.600";"0"
"2025/01";"16";"17/01/2025";"5";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.660";"0";"1.511";"149";"1.352";"308";"1.660";"0"
"2025/01";"16";"18/01/2025";"6";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.362";"0";"1.312";"50";"1.056";"306";"0";"1.362"
"2025/01";"16";"19/01/2025";"7";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.054";"0";"1.042";"12";"779";"275";"0";"1.054"
"2025/01";"16";"20/01/2025";"1";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.561";"0";"1.444";"117";"1.312";"249";"1.561";"0"
"2025/01";"16";"21/01/2025";"2";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.637";"0";"1.496";"141";"1.374";"263";"1.637";"0"
"2025/01";"16";"22/01/2025";"3";"SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia)";"1.603";"0";"1.455";"148";"1.355";"248";"1.603";"0"
