"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/03";"6";"12/03/2025";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.023";"0";"990";"33";"892";"131";"1.023";"0"
"2025/03";"6";"13/03/2025";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.010";"0";"974";"36";"891";"119";"1.010";"0"
"2025/03";"6";"14/03/2025";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.187";"0";"1.155";"32";"972";"215";"1.187";"0"
"2025/03";"6";"15/03/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.255";"0";"1.238";"17";"1.012";"243";"0";"1.255"
"2025/03";"6";"16/03/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.270";"0";"1.266";"4";"1.044";"226";"0";"1.270"
"2025/03";"6";"17/03/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.123";"1";"1.093";"29";"961";"162";"1.123";"0"
"2025/03";"6";"18/03/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.256";"2";"1.216";"38";"1.113";"143";"1.256";"0"
"2025/03";"6";"19/03/2025";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.342";"0";"1.308";"34";"1.180";"162";"1.342";"0"
"2025/03";"6";"20/03/2025";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.408";"0";"1.358";"50";"1.237";"171";"1.408";"0"
"2025/03";"6";"21/03/2025";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.355";"0";"1.296";"59";"1.159";"196";"1.355";"0"
"2025/03";"6";"22/03/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.306";"0";"1.297";"9";"1.024";"282";"0";"1.306"
"2025/03";"6";"23/03/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.353";"0";"1.347";"6";"1.130";"223";"0";"1.353"
"2025/03";"6";"24/03/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.382";"0";"1.335";"47";"1.095";"287";"1.382";"0"
"2025/03";"6";"25/03/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.426";"0";"1.390";"36";"1.076";"350";"1.426";"0"
"2025/03";"9";"12/03/2025";"3";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.122";"0";"1.086";"36";"942";"180";"1.122";"0"
"2025/03";"9";"13/03/2025";"4";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.131";"0";"1.075";"56";"920";"211";"1.131";"0"
"2025/03";"9";"14/03/2025";"5";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.007";"0";"969";"38";"831";"176";"1.007";"0"
"2025/03";"9";"15/03/2025";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"942";"0";"918";"24";"748";"194";"0";"942"
"2025/03";"9";"16/03/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"988";"0";"983";"5";"850";"138";"0";"988"
"2025/03";"9";"17/03/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.075";"0";"1.033";"42";"878";"197";"1.075";"0"
