"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/02";"6";"03/02/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.245";"0";"1.217";"28";"1.083";"162";"1.245";"0"
"2025/02";"6";"08/02/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.288";"0";"2.241";"47";"1.831";"457";"0";"2.288"
"2025/02";"6";"10/02/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.535";"0";"1.486";"49";"1.345";"190";"1.535";"0"
"2025/02";"6";"11/02/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.328";"1";"1.276";"51";"1.164";"164";"1.328";"0"
"2025/02";"7";"01/02/2025";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"02/02/2025";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"03/02/2025";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"04/02/2025";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"05/02/2025";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"06/02/2025";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"07/02/2025";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"08/02/2025";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"09/02/2025";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"10/02/2025";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"11/02/2025";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"9";"01/02/2025";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"953";"0";"925";"28";"757";"196";"0";"953"
"2025/02";"9";"02/02/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"833";"0";"829";"4";"707";"126";"0";"833"
"2025/02";"9";"03/02/2025";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.090";"0";"1.062";"28";"910";"180";"1.090";"0"
"2025/02";"9";"04/02/2025";"2";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.031";"0";"982";"49";"856";"175";"1.031";"0"
"2025/02";"9";"05/02/2025";"3";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.089";"0";"1.044";"45";"883";"206";"1.089";"0"
"2025/02";"9";"06/02/2025";"4";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.033";"0";"983";"50";"837";"196";"1.033";"0"
"2025/02";"9";"07/02/2025";"5";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.184";"0";"1.139";"45";"965";"219";"1.184";"0"
